Pollster 	Dates 	N/Pop 	Approve 	Disapprove 	Undecided
Gallup 	1/7-9/10 	1500 A 	50 	43 	-
Allstate/National Journal 	1/3-7/10 	1200 A 	47 	45 	8
Rasmussen 	1/4-6/10 	1500 LV 	48 	52 	-
Gallup 	1/4-6/10 	1500 A 	52 	42 	-
YouGov/Polimetrix 	1/2-5/10 	1000 A 	45 	46 	8
Gallup 	12/30/09-1/3/10 	1500 A 	49 	44 	-
Rasmussen 	12/29/09-1/3/10 	1500 LV 	47 	52 	-
Zogby (Internet) 	12/28-30/09 	2789 LV 	47 	53 	1
Gallup 	12/27-29/09 	1500 A 	53 	41 	-
YouGov/Polimetrix 	12/26-29/09 	1000 A 	45 	47 	8
Rasmussen 	12/23-28/09 	1500 LV 	46 	53 	-
Gallup 	12/21-23/09 	1500 A 	51 	42 	-
Rasmussen 	12/20-22/09 	1500 LV 	45 	55 	-
YouGov/Polimetrix 	12/20-22/09 	1000 A 	48 	45 	7
Gallup 	12/18-20/09 	1500 A 	49 	46 	-
ARG 	12/17-20/09 	1100 A 	47 	48 	5
CNN 	12/16-20/09 	1160 A 	54 	44 	2
Quinnipiac 	12/15-20/09 	1616 RV 	46 	43 	11
Rasmussen 	12/17-19/09 	1500 LV 	46 	53 	-
Gallup 	12/15-17/09 	1500 A 	52 	40 	-
Rasmussen 	12/14-16/09 	1500 LV 	46 	54 	-
YouGov/Polimetrix 	12/13-15/09 	1000 A 	49 	44 	6
Gallup 	12/12-14/09 	1500 A 	48 	42 	-
NBC/WSJ 	12/11-14/09 	1009 A 	47 	46 	7
AP-GfK 	12/10-14/09 	1001 A 	56 	42 	3
Rasmussen 	12/11-13/09 	1500 LV 	44 	55 	-
USA Today/Gallup 	12/11-13/09 	1025 A 	49 	46 	-
ABC/Post 	12/10-13/09 	1003 A 	50 	46 	4
Pew 	12/9-13/09 	1503 A 	49 	40 	11
Zogby (Internet) 	12/8-11/09 	3024 LV 	48 	52 	1
Gallup 	12/7-11/09 	1500 A 	50 	44 	-
Rasmussen 	12/8-10/09 	1500 LV 	47 	51 	-
GWU (Lake/Tarrance) 	12/6-10/09 	1000 LV 	50 	45 	6
FOX 	12/8-9/09 	900 RV 	50 	44 	7
YouGov/Polimetrix 	12/6-8/09 	1000 A 	48 	44 	8
CBS/Times 	12/4-8/09 	1031 A 	50 	39 	11
Rasmussen 	12/5-7/09 	1500 LV 	47 	52 	-
PPP (D) 	12/4-7/09 	1253 RV 	49 	47 	5
Bloomberg 	12/3-7/09 	1000 A 	54 	41 	5
Marist College 	12/2-7/09 	858 RV 	46 	44 	10
Gallup 	12/4-6/09 	1500 A 	47 	46 	-
Ipsos/McClatchy 	12/3-6/09 	1120 A 	49 	49 	1
Quinnipiac 	12/1-6/09 	2313 RV 	46 	44 	10
Rasmussen 	12/2-4/09 	1500 LV 	47 	52 	-
CNN 	12/2-3/09 	1041 A 	48 	50 	2
Gallup 	12/1-3/09 	1500 A 	52 	41 	-
Rasmussen 	11/29-12/1/09 	1500 LV 	47 	52 	-
Gallup 	11/27-30/09 	1500 A 	51 	42 	-
Gallup 	11/23-25/09 	1500 A 	49 	44 	-
Rasmussen 	11/22-24/09 	1500 LV 	46 	54 	-
Gallup 	11/20-22/09 	1500 A 	49 	44 	-
Rasmussen 	11/19-21/09 	1500 LV 	48 	52 	-
ARG 	11/17-20/09 	1100 A 	51 	44 	5
Gallup 	11/17-19/09 	1500 A 	49 	44 	-
FOX 	11/17-18/09 	900 RV 	46 	46 	8
Rasmussen 	11/16-18/09 	1500 LV 	46 	52 	-
Gallup 	11/14-16/09 	1500 A 	50 	42 	-
Democracy Corps (D) 	11/12-16/09 	1200 LV 	50 	44 	6
Quinnipiac 	11/9-16/09 	2518 RV 	48 	42 	10
Rasmussen 	11/13-15/09 	1500 LV 	50 	49 	-
CBS News 	11/13-15/09 	873 A 	53 	36 	-
CNN 	11/13-15/09 	1014 A 	55 	42 	3
PPP (D) 	11/13-15/09 	1066 RV 	49 	46 	5
ABC/Post 	11/12-15/09 	1001 A 	56 	42 	2
Gallup 	11/11-13/09 	1500 A 	54 	38 	-
Rasmussen 	11/10-12/09 	1500 LV 	47 	51 	-
Public Opinion Strategies (R) 	11/9-11/09 	700 RV 	52 	44 	4
Gallup 	11/8-10/09 	1500 A 	51 	42 	-
Rasmussen 	11/7-9/09 	1500 LV 	48 	52 	-
AP-GfK 	11/5-9/09 	1006 A 	54 	43 	3
AP-GfK/RWJF/Stanford 	10/29-11/8/09 	1006 A 	53 	46 	2
Pew 	10/28-11/8/09 	2000 A 	51 	36 	13
Gallup 	11/5-7/09 	1500 A 	54 	41 	-
Rasmussen 	11/4-6/09 	1500 LV 	49 	50 	-
Zogby (Internet) 	11/4-6/09 	2293 LV 	49 	51 	1
Gallup 	11/2-4/09 	1500 A 	52 	42 	-
Rasmussen 	11/1-3/09 	1500 LV 	48 	51 	-
YouGov/Polimetrix 	11/1-3/09 	1000 A 	50 	44 	8
Gallup 	10/30-11/1/09 	1500 A 	53 	39 	-
CNN 	10/30-11/1/09 	1018 A 	54 	45 	1
Ipsos/McClatchy 	10/29-11/1/09 	1077 A 	53 	43 	3
Rasmussen 	10/29-31/09 	1500 LV 	46 	52 	-
Gallup 	10/27-29/09 	1500 A 	53 	40 	-
FOX 	10/27-28/09 	900 RV 	50 	41 	10
Rasmussen 	10/26-28/09 	1500 LV 	47 	52 	-
YouGov/Polimetrix 	10/25-27/09 	1000 A 	50 	43 	8
Gallup 	10/24-26/09 	1500 A 	51 	41 	-
Rasmussen 	10/23-25/09 	1500 LV 	47 	52 	-
NBC/WSJ 	10/22-25/09 	1009 A 	51 	42 	7
Gallup 	10/21-23/09 	1500 A 	54 	38 	-
Rasmussen 	10/20-22/09 	1500 LV 	49 	50 	-
Gallup 	10/18-20/09 	1500 A 	50 	42 	-
YouGov/Polimetrix 	10/18-20/09 	1000 A 	50 	40 	10
ARG 	10/17-20/09 	1100 A 	57 	41 	2
Rasmussen 	10/17-19/09 	1500 LV 	47 	52 	-
Zogby (Internet) 	10/16-19/09 	3694 LV 	49 	51 	1
PPP (D) 	10/16-19/09 	766 RV 	51 	43 	6
USA Today/Gallup 	10/16-19/09 	1521 A 	50 	46 	-
CNN 	10/16-18/09 	1038 A 	55 	43 	2
ABC/Post 	10/15-18/09 	1004 A 	57 	40 	3
Gallup 	10/15-17/09 	1500 A 	53 	41 	-
Rasmussen 	10/14-16/09 	1500 LV 	49 	50 	-
FOX 	10/13-14/09 	900 RV 	49 	45 	6
Gallup 	10/12-14/09 	1500 A 	53 	40 	-
Rasmussen 	10/11-13/09 	1500 LV 	49 	50 	-
YouGov/Polimetrix 	10/11-13/09 	1000 A 	52 	39 	8
Marist College 	10/7-12/09 	913 RV 	53 	41 	6
Gallup 	10/9-11/09 	1500 A 	56 	36 	-
Rasmussen 	10/8-10/09 	1500 LV 	49 	51 	-
Gallup 	10/6-8/09 	1500 A 	53 	40 	-
CBS News 	10/5-8/09 	829 A 	56 	34 	10
Rasmussen 	10/5-7/09 	1500 LV 	48 	51 	-
YouGov/Polimetrix 	10/4-6/09 	1000 A 	50 	42 	8
Gallup 	10/3-5/09 	1500 A 	51 	42 	-
AP-GfK 	10/1-5/09 	1003 A 	56 	39 	2
Ipsos/McClatchy 	10/1-5/09 	1096 A 	56 	40 	1
Quinnipiac 	9/29-10/5/09 	2630 RV 	50 	41 	9
Rasmussen 	10/2-4/09 	1500 LV 	52 	48 	-
Pew 	9/30-10/4/09 	1500 A 	52 	36 	12
Gallup 	9/30-10/2/09 	1500 A 	53 	40 	-
Rasmussen 	9/29-10/1/09 	1500 LV 	48 	51 	-
FOX 	9/29-30/09 	900 RV 	50 	42 	8
Gallup 	9/27-29/09 	1500 A 	53 	38 	-
YouGov/Polimetrix 	9/27-29/09 	1000 A 	49 	44 	7
Rasmussen 	9/26-28/09 	1500 LV 	49 	50 	-
Zogby (Internet) 	9/25-28/09 	4183 LV 	52 	47 	1
Allstate/National Journal 	9/24-28/09 	1200 A 	52 	40 	8
Gallup 	9/24-26/09 	1500 A 	51 	41 	-
Rasmussen 	9/23-25/09 	1500 LV 	50 	49 	-
Gallup 	9/21-23/09 	1500 A 	51 	42 	-
CBS/Times 	9/19-23/09 	1042 A 	56 	33 	11
Rasmussen 	9/20-22/09 	1500 LV 	50 	49 	-
YouGov/Polimetrix 	9/20-22/09 	1000 A 	51 	42 	7
PPP (D) 	9/21/09 	621 RV 	52 	44 	4
ARG 	9/18-21/09 	1100 A 	50 	45 	5
Franklin and Marshall 	9/15-21/09 	900 RV 	51 	47 	2
Gallup 	9/18-20/09 	1500 A 	53 	40 	-
NBC/WSJ 	9/17-20/09 	1005 A 	51 	41 	8
Rasmussen 	9/17-19/09 	1500 LV 	49 	50 	-
Zogby (Internet) 	9/15-17/09 	1978 LV 	49 	50 	-
Gallup 	9/15-17/09 	1500 A 	51 	42 	-
FOX 	9/15-16/09 	900 RV 	54 	39 	8
Rasmussen 	9/14-16/09 	1500 LV 	47 	52 	-
Democracy Corps (D) 	9/12-16/09 	1200 LV 	52 	41 	7
YouGov/Polimetrix 	9/13-15/09 	1000 A 	49 	42 	9
Pew 	9/10-15/09 	1006 A 	55 	33 	13
Gallup 	9/12-14/09 	1500 A 	52 	41 	-
Zogby (Internet) 	9/10-14/09 	4742 LV 	49 	50 	-
Bloomberg 	9/10-14/09 	1004 A 	56 	37 	7
Rasmussen 	9/11-13/09 	1500 LV 	52 	48 	-
CNN 	9/11-13/09 	1012 A 	58 	40 	2
USA Today/Gallup 	9/11-13/09 	1030 A 	54 	43 	-
ABC/Post 	9/10-12/09 	1007 A 	54 	43 	3
Anzalone-Liszt (D-AUFC) 	9/10-11/09 	801 LV 	56 	41 	3
Gallup 	9/9-11/09 	1500 A 	52 	41 	-
OnMessage (R-RNC) 	9/10/09 	1200 LV 	55 	43 	-
Rasmussen 	9/8-10/09 	1500 LV 	49 	50 	-
Gallup 	9/5-8/09 	1500 A 	51 	41 	-
AP-GfK 	9/3-8/09 	1000 A 	50 	49 	1
Rasmussen 	9/5-7/09 	1500 LV 	50 	49 	-
Rasmussen 	9/2-4/09 	1500 LV 	49 	51 	-
Gallup 	9/2-4/09 	1500 A 	53 	40 	-
Rasmussen 	8/30-9/1/09 	1500 LV 	46 	53 	-
Gallup 	8/30-9/1/09 	1500 A 	54 	40 	-
YouGov/Polimetrix 	8/30-9/1/09 	1000 A 	49 	43 	8
Democracy Corps (D) 	8/30-9/1/09 	1000 LV 	51 	42 	7
NSLC/Public Opinion Strategies (R) 	8/30-9/1/09 	800 RV 	51 	46 	2
CNN 	8/28-31/09 	1010 A 	53 	45 	2
CBS News 	8/27-31/09 	1097 A 	56 	35 	9
Ipsos/McClatchy 	8/27-31/09 	1057 A 	56 	40 	4
Zogby (Internet) 	8/24-31/09 	4518 LV 	42 	48 	-
Gallup 	8/27-29/09 	1500 A 	50 	42 	-
Rasmussen 	8/27-29/09 	1500 LV 	47 	52 	-
Pew 	8/20-27/09 	2003 A 	52 	37 	12
Rasmussen 	8/24-26/09 	1500 LV 	50 	49 	-
Gallup 	8/24-26/09 	1500 A 	50 	43 	-
YouGov/Polimetrix 	8/23-25/09 	1000 A 	48 	45 	7
Gallup 	8/21-23/09 	1500 A 	52 	40 	-
Rasmussen 	8/21-23/09 	1500 LV 	49 	50 	-
Rasmussen 	8/18-20/09 	1500 LV 	49 	50 	-
Gallup 	8/18-20/09 	1500 A 	53 	40 	-
Zogby (Internet) 	8/18-20/09 	2530 LV 	45 	51 	-
ARG 	8/16-19/09 	1100 A 	52 	42 	6
YouGov/Polimetrix 	8/16-18/09 	1000 A 	49 	44 	7
Clarus 	8/14-18/09 	1003 RV 	49 	39 	11
Rasmussen 	8/15-17/09 	1500 LV 	49 	50 	-
Gallup 	8/15-17/09 	1500 A 	52 	42 	-
NBC News 	8/15-17/09 	805 A 	51 	40 	9
PPP (D) 	8/14-17/09 	909 RV 	52 	42 	6
ABC/Post 	8/13-17/09 	1001 A 	57 	40 	3
Pew 	8/11-17/09 	2010 A 	51 	37 	11
Gallup 	8/12-14/09 	1500 A 	55 	37 	-
Rasmussen 	8/12-14/09 	1500 LV 	48 	52 	-
Public Opinion Strategies (R) 	8/11-13/09 	800 RV 	54 	43 	3
FOX 	8/11-12/09 	900 RV 	53 	40 	7
Rasmussen 	8/9-11/09 	1500 LV 	48 	52 	-
Gallup 	8/9-11/09 	1500 A 	53 	40 	-
YouGov/Polimetrix 	8/9-11/09 	1000 A 	49 	43 	9
Rasmussen 	8/6-8/09 	1500 LV 	50 	50 	-
Gallup 	8/6-8/09 	1500 A 	55 	38 	-
Marist College 	8/3-6/09 	845 RV 	55 	35 	10
Rasmussen 	8/3-5/09 	1500 LV 	49 	51 	-
Gallup 	8/3-5/09 	1500 A 	56 	37 	-
Zogby (Phone) 	7/31-8/4/09 	1005 LV 	53 	38 	-
CNN 	7/31-8/3/09 	1136 A 	56 	40 	4
Ipsos/McClatchy 	7/30-8/3/09 	1005 A 	58 	37 	5
Quinnipiac 	7/27-8/3/09 	2409 RV 	50 	42 	9
Rasmussen 	7/31-8/2/09 	1500 LV 	51 	48 	-
Gallup 	7/31-8/2/09 	1500 A 	56 	38 	-
Rasmussen 	7/28-30/09 	1500 LV 	48 	51 	-
Gallup 	7/28-30/09 	1500 A 	54 	40 	-
Time 	7/27-28/09 	1002 A 	56 	38 	6
YouGov/Polimetrix 	7/26-28/09 	1000 A 	50 	43 	7
CBS/Times 	7/24-28/09 	1050 A 	58 	30 	12
Rasmussen 	7/25-27/09 	1500 LV 	49 	49 	-
Gallup 	7/25-27/09 	1500 A 	54 	37 	-
NBC/WSJ 	7/24-27/09 	1011 A 	53 	40 	7
NPR 	7/22-26/09 	850 LV 	53 	42 	6
Pew 	7/22-26/09 	1506 A 	54 	34 	12
Rasmussen 	7/22-24/09 	1500 LV 	49 	51 	-
Gallup 	7/22-24/09 	1500 A 	55 	39 	-
Zogby (Internet) 	7/21-24/09 	3728 LV 	48 	49 	4
GWU (Lake/Tarrance) 	7/19-23/09 	1000 LV 	53 	42 	5
FOX 	7/21-22/09 	900 RV 	54 	38 	8
Rasmussen 	7/19-21/09 	1500 LV 	51 	47 	-
Gallup 	7/19-21/09 	1500 A 	57 	36 	-
YouGov/Polimetrix 	7/19-21/09 	1000 A 	54 	40 	6
ARG 	7/17-20/09 	1100 A 	52 	44 	4
AP-GfK 	7/16-20/09 	1000 A 	55 	42 	1
USA Today/Gallup 	7/17-19/09 	1006 A 	55 	41 	4
Gallup 	7/16-18/09 	1500 A 	60 	33 	-
Rasmussen 	7/16-18/09 	1500 LV 	51 	49 	-
ABC/Post 	7/15-18/09 	1001 A 	59 	37 	4
PPP (D) 	7/15-16/09 	577 RV 	50 	43 	7
Rasmussen 	7/13-15/09 	1500 LV 	51 	47 	-
Gallup 	7/13-15/09 	1500 A 	58 	34 	-
YouGov/Polimetrix 	7/12-14/09 	1000 A 	51 	41 	7
Diageo/Hotline 	7/9-13/09 	800 RV 	56 	38 	6
Ipsos/McClatchy 	7/9-13/09 	1007 A 	57 	38 	4
Rasmussen 	7/10-12/09 	1500 LV 	53 	46 	-
Gallup 	7/10-12/09 	1500 A 	59 	33 	-
CBS News 	7/9-12/09 	944 A 	57 	32 	11
Allstate/National Journal 	7/5-12/09 	1202 A 	56 	36 	9
Rasmussen 	7/7-9/09 	1500 LV 	51 	48 	-
Gallup 	7/7-9/09 	1500 A 	57 	36 	-
YouGov/Polimetrix 	7/5-7/09 	1000 A 	51 	40 	9
Gallup 	7/3-6/09 	1500 A 	58 	35 	-
Rasmussen 	7/1-6/09 	1500 LV 	52 	47 	-
Gallup 	6/30-7/2/09 	1500 A 	62 	31 	-
Rasmussen 	6/28-30/09 	1500 LV 	54 	45 	-
YouGov/Polimetrix 	6/28-30/09 	1000 A 	54 	35 	10
Gallup 	6/27-29/09 	1500 A 	60 	32 	-
Quinnipiac 	6/23-29/09 	3063 RV 	57 	33 	10
CNN 	6/26-28/09 	1026 A 	61 	37 	3
Rasmussen 	6/25-27/09 	1500 LV 	54 	45 	-
Gallup 	6/24-26/09 	1500 A 	59 	33 	-
Rasmussen 	6/22-24/09 	1500 LV 	56 	44 	-
Gallup 	6/21-23/09 	1500 A 	60 	34 	-
YouGov/Polimetrix 	6/21-23/09 	1000 A 	53 	39 	9
Democracy Corps (D) 	6/19-22/09 	1000 LV 	56 	36 	8
Rasmussen 	6/19-21/09 	1500 LV 	54 	45 	-
ABC/Post 	6/18-21/09 	1001 A 	65 	31 	4
ARG 	6/18-21/09 	1100 A 	57 	41 	2
Gallup 	6/17-20/09 	1500 A 	57 	35 	-
Rasmussen 	6/16-18/09 	1500 LV 	54 	45 	-
Zogby (Internet/Phone) 	6/12-18/09 	3728 LV 	51 	42 	7
Gallup 	6/14-16/09 	1500 A 	61 	32 	-
YouGov/Polimetrix 	6/14-16/09 	1000 A 	52 	41 	7
CBS/Times 	6/12-16/09 	895 A 	63 	26 	11
PPP (D) 	6/12-16/09 	638 RV 	52 	42 	4
Rasmussen 	6/13-15/09 	1500 LV 	56 	43 	-
NBC/WSJ 	6/12-15/09 	1008 A 	56 	34 	10
Pew 	6/10-14/09 	1502 A 	61 	30 	9
Gallup 	6/11-13/09 	1500 A 	62 	30 	-
Rasmussen 	6/10-12/09 	1500 LV 	54 	46 	-
FOX 	6/9-10/09 	900 RV 	62 	31 	8
Gallup 	6/8-10/09 	1500 A 	60 	33 	-
Rasmussen 	6/7-9/09 	1500 LV 	57 	42 	-
YouGov/Polimetrix 	6/7-9/09 	1000 A 	56 	37 	7
Ipsos/McClatchy 	6/4-8/09 	1023 A 	64 	32 	4
Gallup 	6/5-7/09 	1500 A 	62 	32 	-
Diageo/Hotline 	6/4-7/09 	800 RV 	65 	31 	4
Rasmussen 	6/4-6/09 	1500 LV 	53 	46 	-
Gallup 	6/2-4/09 	1500 A 	62 	31 	-
Rasmussen 	6/1-3/09 	1500 LV 	55 	45 	-
Marist College 	6/1-3/09 	1028 RV 	56 	32 	12
YouGov/Polimetrix 	5/31-6/2/09 	1000 A 	58 	37 	5
Gallup 	5/30-6/1/09 	1500 A 	64 	30 	-
Zogby (Internet) 	5/29-6/1/09 	2959 LV 	51 	50 	-
AP-GfK 	5/28-6/1/09 	1000 A 	64 	32 	2
Democracy Corps (D) 	5/28-6/1/09 	1013 LV 	58 	33 	8
Quinnipiac 	5/26-6/1/09 	3097 RV 	59 	31 	10
Rasmussen 	5/29-31/09 	1500 LV 	58 	41 	-
USA Today/Gallup 	5/29-31/09 	1015 A 	61 	34 	5
Gallup 	5/27-29/09 	1500 A 	62 	30 	-
Rasmussen 	5/26-28/09 	1500 LV 	59 	40 	-
Gallup 	5/23-26/09 	1500 A 	65 	28 	-
Rasmussen 	5/23-25/09 	1500 LV 	55 	44 	-
Rasmussen 	5/20-22/09 	1500 LV 	57 	41 	-
Gallup 	5/20-22/09 	1500 A 	62 	28 	-
ARG 	5/17-20/09 	1100 A 	61 	32 	7
Rasmussen 	5/17-19/09 	1500 LV 	58 	41 	-
Gallup 	5/17-19/09 	1500 A 	65 	29 	-
YouGov/Polimetrix 	5/17-19/09 	1000 A 	56 	38 	7
CNN 	5/16-18/09 	1073 A 	66 	29 	5
PPP (D) 	5/14-18/09 	1000 RV 	55 	38 	8
CNN 	5/14-17/09 	1010 A 	62 	35 	3
Gallup 	5/14-16/09 	1500 A 	63 	30 	-
Rasmussen 	5/14-16/09 	1500 LV 	56 	43 	-
FOX 	5/12-13/09 	900 RV 	60 	30 	9
Rasmussen 	5/11-13/09 	1500 LV 	57 	42 	-
Gallup 	5/11-13/09 	1500 A 	64 	28 	-
Democracy Corps (D) 	5/10-12/09 	1000 LV 	59 	33 	8
CBS News 	5/6-12/09 	1874 A 	63 	26 	11
Gallup 	5/8-10/09 	1500 A 	66 	27 	-
Rasmussen 	5/7-9/09 	1500 LV 	58 	41 	-
Gallup 	5/5-7/09 	1500 A 	66 	28 	-
Moore (R) 	5/5-7/09 	800 RV 	60 	30 	10
Rasmussen 	5/4-6/09 	1500 LV 	57 	43 	-
YouGov/Polimetrix 	5/3-5/09 	1000 A 	56 	39 	5
Gallup 	5/2-4/09 	1500 A 	67 	27 	-
Rasmussen 	5/1-3/09 	1500 LV 	57 	43 	-
Ipsos/McClatchy 	4/30-5/3/09 	1004 A 	65 	31 	3
Gallup 	4/29-5/1/09 	1500 A 	67 	28 	-
Rasmussen 	4/28-30/09 	1500 LV 	54 	45 	-
Zogby (Internet) 	4/28-30/09 	3367 LV 	54 	45 	-
Gallup 	4/26-28/09 	1500 A 	63 	31 	-
YouGov/Polimetrix 	4/26-28/09 	1000 A 	59 	36 	5
SurveyUSA 	4/27/09 	1200 A 	58 	38 	4
Rasmussen 	4/25-27/09 	1500 LV 	56 	43 	-
Quinnipiac 	4/21-27/09 	2041 RV 	58 	30 	12
CNN 	4/23-26/09 	2019 A 	63 	33 	5
NBC/WSJ 	4/23-26/09 	1005 A 	61 	30 	9
Diageo/Hotline 	4/23-26/09 	800 RV 	62 	33 	6
CBS/Times 	4/22-26/09 	973 A 	68 	23 	9
Gallup 	4/23-25/09 	1500 A 	65 	29 	-
Rasmussen 	4/22-24/09 	1500 LV 	56 	43 	-
ABC/Post 	4/21-24/09 	1072 A 	69 	26 	4
FOX 	4/22-23/09 	900 RV 	62 	29 	8
Marist College 	4/21-23/09 	975 RV 	55 	31 	14
Gallup 	4/20-22/09 	1500 A 	65 	29 	-
Rasmussen 	4/19-21/09 	1500 LV 	54 	46 	-
Public Opinion Strategies (R) 	4/19-21/09 	800 LV 	63 	32 	5
Pew 	4/14-21/09 	1507 A 	63 	26 	11
ARG 	4/17-20/09 	1100 A 	57 	38 	5
AP-GfK 	4/16-20/09 	1000 A 	64 	30 	5
Gallup 	4/17-19/09 	1500 A 	63 	28 	-
PPP (D) 	4/17-19/09 	686 RV 	53 	41 	6
Rasmussen 	4/16-18/09 	1500 LV 	55 	44 	-
Gallup 	4/14-16/09 	1500 A 	62 	30 	-
Resurgent Republic (R) 	4/13-16/09 	1000 RV 	61 	32 	7
Rasmussen 	4/13-15/09 	1500 LV 	55 	43 	-
Zogby (Internet) 	4/13-15/09 	3156 LV 	52 	47 	-
Allstate/National Journal 	4/8-14/09 	1200 A 	61 	28 	11
Gallup 	4/10-13/09 	1500 A 	62 	29 	-
Rasmussen 	4/10-12/09 	1500 LV 	55 	44 	-
Cook/RT 	4/8-11/09 	833 RV 	60 	30 	10
Rasmussen 	4/7-9/09 	1500 LV 	55 	44 	-
Gallup 	4/7-9/09 	1500 A 	60 	28 	-
Rasmussen 	4/4-6/09 	1500 LV 	58 	41 	-
Gallup 	4/4-6/09 	1500 A 	61 	28 	-
Ipsos/McClatchy 	4/2-6/09 	1138 A 	63 	33 	4
Pew 	3/31-4/6/09 	1506 A 	61 	26 	13
CNN 	4/3-5/09 	1023 A 	66 	30 	3
CBS/Times 	4/1-5/09 	998 A 	66 	24 	10
Rasmussen 	4/1-3/09 	1500 LV 	56 	43 	-
Gallup 	4/1-3/09 	1500 A 	63 	27 	-
Marist College 	4/1-3/09 	928 RV 	56 	30 	14
FOX 	3/31-4/1/09 	900 RV 	58 	32 	9
Rasmussen 	3/29-31/09 	1500 LV 	57 	41 	-
Gallup 	3/29-31/09 	1500 A 	60 	29 	-
Quinnipiac 	3/24-30/09 	2326 RV 	58 	31 	11
USA Today/Gallup 	3/27-29/09 	1007 A 	64 	30 	6
ABC/Post 	3/26-29/09 	1000 A 	66 	29 	5
Diageo/Hotline 	3/26-29/09 	800 RV 	63 	31 	6
Democracy Corps (D) 	3/25-29/09 	1000 LV 	58 	34 	8
Rasmussen 	3/26-28/09 	1500 LV 	58 	41 	-
Gallup 	3/26-28/09 	1500 A 	60 	31 	-
Rasmussen 	3/23-25/09 	1500 LV 	56 	43 	-
Gallup 	3/23-25/09 	1500 A 	62 	29 	-
Zogby (Internet) 	3/20-23/09 	4523 LV 	49 	50 	-
Rasmussen 	3/20-22/09 	1500 LV 	56 	42 	-
Gallup 	3/20-22/09 	1500 A 	65 	26 	-
CBS News 	3/20-22/09 	949 A 	64 	20 	16
Rasmussen 	3/17-19/09 	1500 LV 	55 	43 	-
Gallup 	3/17-19/09 	1500 A 	62 	27 	-
ARG 	3/16-19/09 	1100 A 	56 	37 	7
Rasmussen 	3/14-16/09 	1500 LV 	56 	43 	-
Gallup 	3/14-16/09 	1500 A 	62 	27 	-
CBS News 	3/12-16/09 	1142 A 	62 	24 	14
PPP (D) 	3/13-15/09 	691 RV 	55 	37 	8
CNN 	3/12-15/09 	1019 A 	64 	34 	2
NPR 	3/10-14/09 	800 LV 	59 	35 	6
Gallup 	3/11-13/09 	1500 A 	61 	28 	-
Rasmussen 	3/11-13/09 	1500 LV 	57 	41 	-
Pew 	3/9-12/09 	1308 A 	59 	26 	15
YouGov/Polimetrix 	3/9-10/09 	1000 A 	56 	34 	10
Rasmussen 	3/8-10/09 	1500 LV 	56 	43 	-
Gallup 	3/8-10/09 	1500 A 	62 	27 	-
Ipsos/McClatchy 	3/5-9/09 	1070 A 	65 	29 	6
Gallup 	3/5-8/09 	1012 A 	65 	28 	7
NCSC 	2/17-3/8/09 	1200 A 	65 	18 	17
Rasmussen 	3/5-7/09 	1500 LV 	56 	43 	-
Gallup 	3/5-7/09 	1500 A 	62 	26 	-
Newsweek 	3/4-5/09 	1203 A 	58 	26 	16
Zogby (Internet) 	3/2-5/09 	3365 LV 	52 	46 	-
FOX 	3/3-4/09 	900 RV 	63 	26 	11
Rasmussen 	3/2-4/09 	1500 LV 	59 	40 	-
Gallup 	3/2-4/09 	1500 A 	62 	28 	-
Diageo/Hotline 	2/28-3/2/09 	803 RV 	67 	27 	6
Quinnipiac 	2/25-3/2/09 	2573 RV 	59 	25 	16
Rasmussen 	2/27-3/1/09 	1500 LV 	58 	41 	-
Gallup 	2/27-3/1/09 	1500 A 	63 	25 	-
Cook/RT 	2/27-3/1/09 	880 RV 	57 	28 	15
NBC/WSJ 	2/26-3/1/09 	1007 A 	60 	26 	14
Rasmussen 	2/24-26/09 	1500 LV 	60 	40 	-
Gallup 	2/24-26/09 	1500 A 	67 	21 	-
Rasmussen 	2/21-23/09 	1500 LV 	60 	39 	-
Gallup 	2/21-23/09 	1500 A 	59 	25 	-
USA Today/Gallup 	2/20-22/09 	1013 A 	62 	29 	9
ABC/Post 	2/19-22/09 	1001 A 	68 	25 	7
CBS/Times 	2/18-22/09 	1112 A 	63 	22 	15
Rasmussen 	2/18-20/09 	1500 LV 	57 	41 	-
Gallup 	2/18-20/09 	1500 A 	63 	24 	-
CNN 	2/18-19/09 	1046 A 	67 	29 	4
FOX 	2/17-18/09 	900 RV 	60 	26 	14
ARG 	2/15-18/09 	1100 A 	60 	33 	7
Rasmussen 	2/15-17/09 	1500 LV 	61 	38 	-
Gallup 	2/15-17/09 	1500 A 	62 	25 	-
AP-GfK 	2/12-17/09 	1001 A 	67 	24 	16
Rasmussen 	2/12-14/09 	1500 LV 	60 	39 	-
Gallup 	2/11-14/09 	1500 A 	66 	21 	-
InsiderAdvantage 	2/13/09 	807 LV 	54 	42 	4
Gallup 	2/9-12/09 	1022 A 	63 	26 	11
Rasmussen 	2/9-11/09 	1500 LV 	61 	37 	-
Democracy Corps (D) 	2/9-10/09 	1000 LV 	58 	27 	16
Gallup 	2/8-10/09 	1500 A 	63 	22 	-
Ipsos/McClatchy 	2/5-9/09 	841 RV 	69 	26 	1
CNN 	2/7-8/09 	806 A 	76 	23 	1
Rasmussen 	2/6-8/09 	1500 LV 	60 	38 	-
Pew 	2/4-8/09 	1303 A 	64 	17 	19
Gallup 	2/5-7/09 	1500 A 	64 	22 	-
